,nome_modelo,versao,entradas,rmse,epoch
0,Modelo_Niteroi_v0,v0,"(10, 7)",0.18392940796174226,5
1,Modelo_Niteroi_v1,v1,"(20, 7)",0.2745718154799673,5
2,Modelo_Niteroi_v2,v2,"(30, 7)",0.23703710009786907,5
0,Modelo_Niteroi_v0,v0,"(10, 7)",0.16430742891524275,10
1,Modelo_Niteroi_v1,v1,"(20, 7)",0.3372046801089095,10
2,Modelo_Niteroi_v2,v2,"(30, 7)",0.2118628983202851,10
0,Modelo_Niteroi_v0,v0,"(10, 7)",0.13307398490001562,20
1,Modelo_Niteroi_v1,v1,"(20, 7)",0.4075752985437773,20
2,Modelo_Niteroi_v2,v2,"(30, 7)",0.2121957971375975,20
0,Modelo_Niteroi_v0,v0,"(10, 7)",0.12222968897709555,50
1,Modelo_Niteroi_v1,v1,"(20, 7)",0.2558168032098543,50
2,Modelo_Niteroi_v2,v2,"(30, 7)",0.1756970664065214,50
0,Modelo_Niteroi_v0,v0,"(10, 7)",0.12009161038083287,100
1,Modelo_Niteroi_v1,v1,"(20, 7)",0.08134801331048785,100
2,Modelo_Niteroi_v2,v2,"(30, 7)",0.17957819842302167,100
